"amendment"	"Soil_type"	"Treatment"	"Time"	"CO2flux"	"N2Oflux"	"CH4flux"	"NO3"	"NH4"	"TotalCadded"	"TotalNadded"	"pH"	"OM"	"gravimetricSM"	"nosZII"	"nosZI"	"fnirk"	"nirK"	"nirS"	"aoa"	"aob"	"pmoa"	"mcra"	"nifH"	"plant_heights"	"plant_leveas"	"plant_weight"
"X65dclayCCfeb1"	"Ccfeb"	"clay"	"No_plant"	65	-0.05451095	0.068276694	-0.029262583	112.5	2.21	NA	NA	7.57	3.92	29.78566149	4.338965821	2.809489297	2.79570643	5.68291958	3.349508894	3.030496659	3.112839351	2.904564105	2.01330445	4.277320636	NA	NA	NA
"X65dsandCCnovP1"	"Ccnov"	"sandy"	"wheat"	65	-0.277425011	0.113386135	0.011953647	0.05	1.33	NA	NA	5.82	5.22	5.487804878	3.096285679	12.84269997	3.713184315	7.337647651	0.347156199	0.615542923	2.689643822	3.87812886	2.021133616	2.830551048	39.375	51.25	25.11
"X65dclayDC2"	"DC"	"clay"	"No_plant"	65	-0.298486151	0.036327966	-0.043903376	31.78	1.04	NA	NA	7.54	3.69	25.51271534	3.681075936	2.326675563	1.431646983	2.568076637	3.106907711	1.751278234	1.567336212	4.691119231	5.067846132	2.160332357	NA	NA	NA
"X65dclayDC1"	"DC"	"clay"	"No_plant"	65	-0.170219211	0.015113818	-0.138407489	42.3	1.24	NA	NA	7.38	3.58	27.36280488	2.750074721	2.177768455	1.928412324	2.197598196	1.508315016	1.692466653	1.431545538	6.790539963	4.574145816	2.204101638	NA	NA	NA
"X65dclayDC3"	"DC"	"clay"	"No_plant"	65	-0.346778764	0.097134256	-0.21346155	38.9	1.1	NA	NA	7.46	3.9	28.70571222	3.311632216	2.237747511	1.829484227	2.462896497	1.519129355	1.628578732	1.184174448	4.061241983	2.641813851	2.138571209	NA	NA	NA
"X65dclaySC1"	"SC"	"clay"	"No_plant"	65	-0.095850186	0.125646799	-0.082095442	29	0.86	NA	NA	7.48	4.15	25.57154953	2.884257167	1.306143977	2.563894886	1.976738299	3.639160542	1.896773665	2.110019222	3.880944633	4.147364831	2.176018978	NA	NA	NA
"X65dclaySC2"	"SC"	"clay"	"No_plant"	65	-0.344778656	-0.012982702	-0.177449602	21.41	1.38	NA	NA	7.56	3.74	27.95918367	2.615456074	0.850049428	2.386498656	2.28858187	2.970443539	2.489299844	2.499568355	3.818070286	4.006560624	2.539492279	NA	NA	NA
"X65dclaySC3"	"SC"	"clay"	"No_plant"	65	-0.281755246	0.135797348	-0.187050121	53.15	1.62	NA	NA	7.53	3.63	27.89581905	3.597701854	1.13783704	3.198588083	1.44776441	3.864638707	2.229739152	1.956680165	3.883555107	4.132875789	2.458905975	NA	NA	NA
"X65dclayCCnov1"	"Ccnov"	"clay"	"No_plant"	65	-0.030280638	0.040870211	-0.093030034	105.81	1.17	NA	NA	7.53	3.57	27.00892857	3.765783139	1.470603037	4.047665823	6.848713034	2.57273028	2.646313721	4.566825323	3.692663182	1.519829276	5.450361023	NA	NA	NA
"X65dclayCCnov3"	"Ccnov"	"clay"	"No_plant"	65	-0.103525602	0.059523221	-0.139567552	282.27	1.87	NA	NA	7.44	3.68	28.16053512	4.482424726	1.601484563	2.927429059	4.280788172	5.53295901	0.956486768	2.353401304	2.203297705	1.50674545	4.683635967	NA	NA	NA
