Kingdom	Phylum	Order	Class	Family	Genus
1	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	NA	NA	NA
2	k.Archaea	NA	NA	NA	NA	NA
3	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	NA	NA	NA
4	k.Bacteria	NA	NA	NA	NA	NA
5	X6	NA	NA	NA	NA	NA
6	k.Bacteria	p.Actinobacteria	NA	NA	NA	NA
7	k.Bacteria	p.Proteobacteria	o.Epsilonproteobacteria	c.Campylobacterales	NA	NA
8	k.Bacteria	p.Proteobacteria	o.Epsilonproteobacteria	c.Campylobacterales	f.Helicobacteraceae	NA
9	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Burkholderiales	f.Comamonadaceae	NA
10	k.Bacteria	p.Proteobacteria	o.Epsilonproteobacteria	c.Campylobacterales	f.Helicobacteraceae	g.Sulfuricurvum
11	k.Bacteria	p.Actinobacteria	o.Actinobacteria	o.unclassified.Actinobacteria	o.unclassified.Actinobacteria	NA
12	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	c.Pseudomonadales	f.Pseudomonadaceae	g.Pseudomonas
13	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	c.Desulfuromonadales	NA	NA
14	k.Bacteria	p.Firmicutes	NA	NA	NA	NA
15	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	c.Syntrophobacterales	f.Syntrophaceae	g.Smithella
16	k.Bacteria	Terrabacteria.group	NA	NA	NA	NA
17	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	c.Desulfobacterales	f.Desulfobacteraceae	g.Desulfobacterium
18	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	c.Desulfuromonadales	f.Geobacteraceae	NA
19	k.Bacteria	p.Actinobacteria	o.Coriobacteriia	NA	NA	NA
20	k.Bacteria	p.Bacteroidetes	unclassified.Bacteroidetes	unclassified.Bacteroidetes	sp.Bacteroidetes.bacterium	NA
21	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	c.Desulfuromonadales	f.Geobacteraceae	g.Geobacter
22	k.Bacteria	p.Actinobacteria	o.Actinobacteria	o.unclassified.Actinobacteria	o.unclassified.Actinobacteria	sp.Actinobacteria.bacterium.66
23	k.Bacteria	p.Proteobacteria	NA	NA	NA	NA
24	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	c.Desulfobacterales	f.Desulfobacteraceae	unclassified.Desulfobacteraceae
25	k.Bacteria	p.Bacteroidetes	NA	NA	NA	NA
26	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	c.Desulfobacterales	f.Desulfobacteraceae	NA
27	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	unclassified.Deltaproteobacteria	unclassified.Deltaproteobacteria	sp.Deltaproteobacteria.bacterium.HGW-Deltaproteobacteria-15
28	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	unclassified.Deltaproteobacteria	unclassified.Deltaproteobacteria	sp.Deltaproteobacteria.bacterium
29	k.Bacteria	p.Actinobacteria	o.Actinobacteria	o.unclassified.Actinobacteria	o.unclassified.Actinobacteria	sp.Actinobacteria.bacterium
30	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	c.Syntrophobacterales	f.Syntrophorhabdaceae	g.Syntrophorhabdus
31	k.Bacteria	p.Proteobacteria	o.Epsilonproteobacteria	NA	NA	NA
32	k.Bacteria	unclassified.Bacteria	NA	NA	NA	NA
33	k.Bacteria	p.Proteobacteria	o.Epsilonproteobacteria	c.Campylobacterales	f.Campylobacteraceae	g.Sulfurospirillum
34	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	c.Immundisolibacterales	f.Immundisolibacteraceae	g.Immundisolibacter
35	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	c.Pseudomonadales	NA	NA
36	k.Bacteria	unclassified.Bacteria	unclassified.Bacteria	bacterium	NA	NA
37	k.Bacteria	p.Proteobacteria	o.Deltaproteobacteria	unclassified.Deltaproteobacteria	unclassified.Deltaproteobacteria	NA
38	k.Bacteria	p.Firmicutes	o.Clostridia	c.Clostridiales	NA	NA
39	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	c.Pseudomonadales	f.Pseudomonadaceae	NA
40	k.Bacteria	p.Bacteroidetes	unclassified.Bacteroidetes	unclassified.Bacteroidetes	NA	NA
41	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	NA	NA	NA
42	k.Bacteria	p.Proteobacteria	o.Epsilonproteobacteria	c.Campylobacterales	f.Campylobacteraceae	Arcobacter.group
43	k.Archaea	p.Euryarchaeota	Stenosarchaea.group	o.Methanomicrobia	c.Methanomicrobiales	NA
44	k.Bacteria	environmental.samples	sp.uncultured.bacterium	NA	NA	NA
45	k.Bacteria	p.Chloroflexi	NA	NA	NA	NA
46	k.Bacteria	p.Spirochaetes	o.Spirochaetia	c.Spirochaetales	environmental.samples	sp.uncultured.spirochete
47	k.Archaea	p.Euryarchaeota	Stenosarchaea.group	o.Methanomicrobia	c.Methanomicrobiales	f.Methanoregulaceae
48	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	c.Sphingomonadales	f.Sphingomonadaceae	g.Sphingobium
49	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	NA	NA	NA
50	k.Bacteria	p.Bacteroidetes	o.Bacteroidia	c.Bacteroidales	NA	NA
51	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	c.Xanthomonadales	f.Xanthomonadaceae	NA
