"p1.20160322"	"p1.20160401"	"p3.20160322"	"p3.20160401"	"p3.20160714"	"p3.20160811"	"p4.20160322"	"p4.20160401"	"p4.20160415"	"p4.20160713"	"p4.20160727"	"p5.20160322"	"p5.20160415"	"p5.20160715"	"p5.20160817"	"p6.20160322"	"p6.20160415"	"p6.20160701"	"p6.20160726"	"p7.20160322"	"p7.20160415"	"p7.20160713"	"p7.20160729"	"p8.20160720"	"p8.20160825"
"2"	32120	197059	36294	196400	285951	589292	12396	65131	54502	92246	259934	67337	50321	90762	78841	78831	50690	63038	47597	64796	66776	54748	28581	67266	76612
"4"	17259	83176	214109	78017	15579	34135	121098	96263	80749	33468	62086	2078	12727	10948	18015	704	14162	3672	1177	626	1267	4553	6818	4337	6725
"7"	96755	177510	562633	245071	63737	121094	413198	250299	112037	29314	146894	6548	8879	17190	10002	953	6183	2201	1669	784	945	543	1684	240	286
"8"	236	981834	271525	530634	883344	1119272	1259480	1052021	1095983	1224068	1436668	70185	178216	245291	196370	54334	176244	14671	11998	12268	40877	45761	7289	29930	62340
"9"	146	422460	193140	21616	131664	105499	657325	129081	417656	207289	202060	788	7316	17643	34194	4925	40618	1650	1534	1612	1895	3924	657	3456	5619
"10"	90	3110	2416	35149	386443	404771	726	32337	81556	93795	208007	339342	294046	271202	147594	218586	293697	223063	174103	210938	210484	170579	119618	404055	238321
"11"	559	9523287	3432222	2892401	989712	1729244	7017566	4861951	5710922	2280686	2728102	315199	716583	441913	431507	117834	922995	31820	26026	24298	62786	92769	15373	69258	153915
"12"	34979	34214	67998	37096	20199	20776	35600	57927	28935	12453	21143	1957	4365	9543	5313	407	3294	771	660	360	506	173	569	182	106
"13"	45410	527408	76211	800806	1211027	1502585	1539	271908	218713	397985	694176	121096	149828	460147	200324	123587	115325	106115	94568	117251	97484	73853	49486	143274	141897
"14"	980	4994	9796	6894	16485	67249	70390	38459	49649	89455	109601	1247	11458	26568	55047	307	12711	2095	938	157	415	1867	504	7849	10339
"15"	4101	69518	70987	51556	10249	41637	42203	58001	56612	21762	27202	1339	5068	5749	8080	713	4748	1228	419	238	384	1694	432	6075	160296
"16"	2877	17310	34773	14608	1913	3980	13731	14653	7535	3689	6251	121	628	464	359	34	919	49	26	31	95	198	16	69	91
"17"	6972	38889	77064	32491	8562	12102	40203	31978	22909	9233	13740	1512	2188	2921	3739	777	2347	2385	575	403	392	1873	1997	5205	36635
"18"	31092	160818	380274	188046	11587	28390	187166	535295	151683	50673	82757	1600	8927	2852	4414	628	13134	194	241	120	747	605	113	343	967
"19"	1185	4075	93	26	567	495	9	1770	934	277	755	2	133	52	0	20	155	0	0	0	0	0	0	3	6
"20"	123	1583	1855	1937	5533	44532	47263	14289	18267	92796	74470	569	5145	13140	33516	153	5091	883	409	140	159	754	255	3218	4728
"21"	2325	3021	7109	3018	1175	1217	5895	2305	1651	540	2049	62	399	497	312	34	288	17	26	10	7	3	8	2	0
"22"	5520	46933	85760	32727	11289	57521	20680	24977	22868	8809	13269	2606	5047	4163	7065	2735	5618	7455	657	499	531	22286	2231	16391	27369
"23"	517	8139	10998	11700	32307	125013	152503	71590	94695	175883	284783	2221	23956	49653	97001	469	26043	4194	1596	323	774	4097	1177	10728	16486
"24"	17480	188969	233977	372249	661769	850511	165102	285850	320760	321949	529278	2156383	2053349	966818	693481	2696017	1773688	1128152	888751	2855539	1295046	897235	733564	1647869	1269707
"25"	4361	6687	22537	7043	2890	3142	8650	5945	4285	1855	4305	375	761	1451	1001	66	553	129	114	67	79	20	85	51	31
"26"	2497	39513	57295	38773	4086	7071	22386	38277	29535	10287	14537	433	1435	925	925	333	2447	81	71	60	469	309	105	1231	157
"27"	724	5614	5546	4316	399	745	1563	3112	1439	332	982	20	123	71	85	14	165	14	6	2	6	15	5	129	39
"28"	1917	12840	40239	15278	1228	1547	10880	8565	6940	1513	2496	110	460	157	242	149	660	123	40	128	82	277	40	254	200
"29"	1423	3160	9262	5953	998	1036	6933	2623	2165	664	1437	1203	606	598	651	537	591	3913	551	643	369	1502	3079	398	599
"30"	2522	17825	54771	17400	5510	13607	9912	14191	7727	18160	21629	86297	421782	54107	57253	121053	464367	81756	12510	10502	36406	336899	25249	237411	234579
"31"	3538	20549	27238	19871	1739	3984	16569	10990	14243	5588	7282	226	1082	384	541	71	2022	45	67	25	133	140	16	52	93
"32"	11535	80085	146496	76674	4071	6056	49824	51575	23104	11660	15979	265	1665	534	649	174	2432	112	78	119	181	197	86	60	105
"33"	6624	69838	85031	40083	5782	12250	850497	465442	523692	24294	49452	7445	109137	3662	9090	3044	110601	14391	4572	2158	7121	21554	46172	4062	13955
"34"	470	1096	1962	1390	2243	7430	2047	2734	3620	6048	19005	313	2147	4062	3299	204	2230	220	147	87	65	302	116	2678	3339
"35"	338	1415	1375	1181	75	134	929	737	913	101	84	0	50	0	0	11	131	5	30	9	10	0	2	0	0
"36"	17	0	8	0	0	0	0	20	45	227	1426	0	0	25	0	29	0	16	0	0	0	0	58	17	237
"37"	276	970	836	894	125	127	467	464	529	87	164	0	174	8	63	0	0	2	0	0	11	10	0	6	0
"38"	288	232	484	560	325	997	592	340	396	465	468	445	763	1115	508	272	756	311	620	243	152	157	203	1090	824
"39"	3000	29319	63025	31859	1912	2446	23407	19499	12111	2943	4078	235	889	190	290	66	1424	86	95	73	107	165	45	82	56
"40"	115	336	553	304	108	80	397	442	389	154	147	9	31	8	6	0	13	5	2	0	0	7	12	13	2
"41"	878	4017	12608	6280	758	1002	4643	3519	2892	1218	1321	53	372	111	72	8	376	34	2	8	45	19	4	28	52
"42"	3279	26047	72281	31950	1755	2048	24968	22196	14263	3327	3089	349	1301	280	566	230	1336	84	80	166	253	455	82	298	374
"43"	177	182736	47341	82170	85894	71083	115876	123570	143700	104787	164130	8536	23040	57569	29355	9088	40745	4962	4411	2484	8816	14032	2743	10493	17456
"44"	887	698	5852	1163	548	1200	1159	2517	910	288	1544	32	83	193	92	0	37	26	2	3	14	0	2	0	4
"45"	5112	211958	444050	220727	22907	33615	139433	176385	93614	41984	45959	377	2705	1174	2235	207	3621	178	115	41	116	437	89	154	241
"46"	44	9	50	40	2	10	38	13	12	2	4	0	0	2	2	2	2	0	0	0	0	5	40	13	6
"47"	547	4628	7877	5496	391	807	1921	2230	1651	920	885	85	174	87	152	29	425	220	18	4	11	79	23	70	84
"48"	1179	1528	4621	1247	702	813	1993	1982	1434	479	814	50	211	261	218	5	102	19	40	15	25	5	14	0	0
"49"	244	5124	13858	31236	50978	49098	47676	81597	79369	93133	118438	1354	5763	6736	25049	1726	6468	949	869	314	1475	3296	554	3460	11195
"50"	939	10527	13668	9686	1744	2596	6987	11735	5622	3082	3673	97	232	107	106	56	603	32	13	10	39	70	8	154	29
"51"	457	5267	6688	3459	316	346	1222	2246	1918	428	752	103	127	53	53	2	202	30	14	2	10	50	6	62	10
"52"	556	1886	5692	2187	241	747	1364	1232	886	327	737	20	103	30	45	20	138	12	18	4	13	46	20	17	54
"53"	197	92	1042	338	4	446	398	6	321	57	289	81	2	20	33	20	4	231	33	22	12	64	220	4	8
"54"	202	0	4237	23	471	129	8	9	114	72	88	26183	3779	2676	6914	11084	1926	114831	8612	14040	9834	48088	55786	24539	15085
"55"	4739	29519	5167	124719	315544	629625	82	26825	30023	58272	257804	39627	29390	74364	70850	51820	23774	44372	74832	47772	23359	13728	10383	93778	120150
"56"	800	820	1834	1097	604	469	1293	625	826	273	833	29	142	236	104	12	85	15	23	7	21	0	23	6	0
"57"	922	9793	17167	4859	865	11012	6039	5321	3114	1005	1055	173	268	202	142	55	267	41	26	14	39	179	21	57	159
"58"	242	499	1772	637	85	157	708	602	574	200	204	44	62	49	88	45	111	19	17	12	10	58	31	218	234
"59"	114	324	308	201	6	19	342	84	28	21	24	13	23	25	49	11	53	76	44	0	33	4722	34	162	95
"60"	1406	18041	30664	16566	1825	6141	8917	25414	8815	12919	16070	86	297	398	730	14	385	44	43	2	17	137	40	149	141
"61"	237	4806	13296	6840	205	652	3480	2553	2488	821	468	188	33	13	28	6	201	77	97	22	590	4	20	8	74
"62"	110	0	0	0	0	88	2	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"63"	357	3	2346	3	359	0	5	1693	4	0	0	545	43	20	39	0	4	7	0	0	0	52	0	17	9
"64"	1115	3215	15887	3588	1043	1118	5638	9095	2958	632	1501	58	118	106	188	24	142	8	14	16	19	32	16	46	26
"65"	206	7	62	66	41	0	67	0	62	38	24	0	21	62	31	0	18	6	0	6	0	0	3	4	0
