"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"2"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Unknown"	"Unknown"	"Unknown"
"4"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Unknown"	"Unknown"	"Unknown"
"7"	"Bacteria"	"Actinobacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"8"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Unknown"	"Unknown"
"9"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Unknown"
"10"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Unknown"
"11"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Sulfuricurvum"
"12"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Unknown"	"Unknown"	"Unknown"
"13"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"14"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Unknown"	"Unknown"
"15"	"Bacteria"	"Firmicutes"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"16"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophaceae"	"Smithella"
"17"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"18"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfobacterium"
"19"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Herpetosiphonales"	"Herpetosiphonaceae"	"Herpetosiphon"
"20"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Unknown"
"21"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Unknown"	"Unknown"	"Unknown"
"22"	"Bacteria"	"Bacteroidetes"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"23"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Geobacter"
"24"	"Bacteria"	"Proteobacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"25"	"Bacteria"	"Actinobacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"26"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"27"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophaceae"	"Syntrophus"
"28"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Unknown"
"29"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Unknown"	"Unknown"	"Unknown"
"30"	"Bacteria"	"Bacteroidetes"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"31"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Unknown"
"32"	"Bacteria"	"Candidatus Marinimicrobia"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"33"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Unknown"	"Unknown"	"Unknown"
"34"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Unknown"
"35"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Aggregatibacter"
