Sample_ID	potno	Samples	Type	Groups	Legacy	Legacy.num	Rewetting	Rewet.num	Sequences	Comment	X12	Ninorg	fumigatie.extractie	ergosterol	Arginine	respi._and_sir	pot.nr	R_order	Sample	treatment	Arg1	Arg2	Arg3	fum1	fum2	fum3	erg1	erg2	erg3	Norg1	Norg2	Norg3	pH1	pH2	pH3	C-t1	Ct2	Ct3	S-t1	S-t2	S-T3	Artemisia.biennis_ste	Artemisia.vulgaris_ste	Tragopogon.dubius_ste	Tragopogon.pratensis_ste	analysis_Nucleotide sequences after format-specific filteringaaaaaaaaaa	Centaurea.jaceae_ste	Rorippa.austriaca_ste	Rorippa.sylvestris_ste	Vicia.lutea_ste	Vicia.sativa_ste	tot_inoste	exo_inoste	nat_inoste	Artemisia.biennis_live	Artemisia.vulgaris_live	Tragopogon.dubius_live	Tragopogon.pratensis_live	Centaurea.stoebe_live	Centaurea.jaceae_live	Rorippa.austriaca_live	Rorippa.sylvestris_live	Vicia.lutea_live	Vicia.sativa_live	tot_inoal	exo_inoal	nat_inoal	treatment2	Artemisia.biennis_ori	Artemisia.vulgaris_ori	Tragopogon.dubius_ori	Tragopogon.pratensis_ori	Centaurea.stoebe_ori	Centaurea.jaceae_ori	Rorippa.austriaca_ori	Rorippa.sylvestris_ori	Vicia.lutea_ori	Vicia.sativa_ori	tot_ori	exo_ori	nat_ori
M1	5	5_73_16S	16S	Control	WHC 50%	2	WHC 50%	1	149423	OK	5	12.82133158	312.0427901	1.128726287	8.966647187	5.247153239	5	1	M1	2	8.966647187	9.482152222	9.229434373	312.0427901	321.7634471	337.3316665	1.128726287	2.15555897	0.900905309	12.82133158	14.80807953	20.31764239	7.89	8	7.98	NA	0.233071004	1.152320729	5.247153239	2.137568409	NA	2.714753366	4.055183236	0.189440417	0.564677626	1.156370736	3.02953961	4.473138465	2.063886333	1.746918425	0.628091786	20.622	10.28062141	10.34137859	1.250926442	3.511544361	1.505457208	0.506134391	0.258690082	1.781178316	1.526290396	2.212414677	3.730449189	2.310914938	18.594	8.271813317	10.32218668	4	3.462249552	0.071986269	0.317890149	0.172867463	0.490136716	0.728725373	8.042235821	3.177260896	0.20211403	2.499533731	19.165	12.51462627	6.650373731
D1	9	9_43_16S	16S	Drought	No water	1	WHC 50%	1	119939	OK	9	13.42177478	195.7057421	1.019517337	11.27988527	2.453228135	9	17	D1	4	11.27988527	7.798826954	9.06541194	195.7057421	420.3654935	324.3538334	1.019517337	1.420528234	1.525278793	13.42177478	17.26865463	21.44687324	8.08	7.99	7.76	0.997649674	0.522102976	1.286078541	2.453228135	2.114086174	4.323173492	1.877960126	7.865306576	0.368366845	0.344801804	0.756705452	3.322152961	0.269757746	2.128735782	1.141348281	0.921864427	18.997	4.414138449	14.58286155	0.664734046	3.814280458	0.827863664	0.800996641	0.882452672	2.010578931	3.255217557	0.49801374	7.96084687	0.91801542	21.633	13.59111481	8.041885191	8	1.160329128	9.661888097	1.213691717	0.965482172	0.895134394	2.561866155	0.353449259	0.983804169	1.960467361	0.719887548	20.476	5.58307186	14.89292814
D2	10	10_44_16S	16S	Drought	No water	1	WHC 50%	1	139197	OK	10	12.94257283	74.41134889	1.065779056	9.432743751	2.979278821	10	18	D2	4	9.432743751	6.947965645	9.558247776	74.41134889	338.4364489	312.1679037	1.065779056	0.943895719	1.275152351	12.94257283	22.62797488	25.51120169	8.01	7.95	7.88	1.625546547	0.017451413	0.75779301	2.979278821	2.077996596	NA	3.60899047	4.321106802	0.405637857	0.39862997	0.655127013	2.446380217	3.767157739	2.821113539	1.67614673	0.271709662	20.372	10.11305981	10.25894019	1.960499076	6.416492606	1.088852126	0.785474122	0.586533272	3.449210721	0.159743993	1.671390018	3.930567468	0.683236599	20.732	7.726195933	13.00580407	8	1.16127672	5.662784041	0.638915081	0.574183748	0.838969985	0.695377745	2.608202782	0.051787701	8.136064422	0.215437775	20.583	13.38342899	7.19957101
DR1	12	12_45_16S	16S	Drought/Rain	No water	1	WHC 100%	2	141708	OK	12	14.3930809	154.4735537	1.063598418	10.81638823	2.919636911	12	25	DR1	3	10.81638823	4.803928279	8.623626196	154.4735537	472.9555382	396.7951404	1.063598418	1.314843732	1.123642656	14.3930809	11.55868111	14.00045453	8.04	7.77	8	1.354830024	NA	0.792621068	2.919636911	4.09636036	2.024849278	2.560298107	6.008576356	0.564712809	0.529780281	1.026398792	2.604630473	2.870478574	2.989759726	0.904974916	0.395389966	20.455	7.926863198	12.5281368	3.177163072	4.535984745	0.684487638	1.129122041	1.107644398	1.777506575	3.253890584	1.987357706	0	2.97184324	20.625	8.223185692	12.40181431	6	1.553218139	3.212241142	1.496666843	0.828090428	0.532544157	1.37352036	0.539801692	2.203424907	1.913377049	1.996115283	15.649	6.035607879	9.613392121
D3	14	14_46_16S	16S	Drought	No water	1	WHC 50%	1	50512	OK	14	15.384479	176.5104067	1.112767932	10.73682462	2.927449666	14	19	D3	4	10.73682462	8.228774315	8.457455522	176.5104067	329.3754693	288.0005265	1.112767932	1.580584879	1.132731748	15.384479	17.98863314	26.2668567	8.04	7.85	7.89	1.099135122	NA	1.255928025	2.927449666	3.815234348	2.072293879	1.811325456	7.502440917	0.075340974	0.347319334	1.494875997	1.18893992	3.252366743	1.105290575	0.313866315	1.91023377	19.002	6.947775484	12.05422452	1.291481904	3.960579379	0.904919039	0.865179079	0.340172484	2.294423355	3.313539864	1.043980269	0.008615602	2.941709024	16.9646	5.858728894	11.10587111	8	2.144666463	8.211394873	0.726797376	0.759304547	0.248828197	1.62332072	0.639327128	1.1557278	6.914066524	1.135566372	23.559	10.67368569	12.88531431
DR2	15	15_47_16S	16S	Drought/Rain	No water	1	WHC 100%	2	186471	OK	15	14.74831618	222.7512461	1.165871963	12.31341164	2.778500721	15	26	DR2	3	12.31341164	4.758442145	9.951535926	222.7512461	498.613561	333.5932965	1.165871963	2.031042663	1.797392136	14.74831618	15.68143894	13.66895276	8	7.81	7.98	1.142324982	1.734096981	1.116907269	2.778500721	1.780967627	1.767758255	1.51289486	8.851401869	0.159488318	0.452838785	0.928752336	2.787792056	0.637401869	0.217098131	4.146913551	2.359418224	22.054	7.385450935	14.66854907	1.133885434	5.586838343	1.32079422	0.742456844	0.789882983	0.858063992	0.929711779	0.83161076	7.539143594	2.45661205	22.189	11.71341801	10.47558199	6	1.941980688	3.241107631	1.191300283	0.700516251	0.988857748	2.310495761	0.56229887	0.375122939	3.625658738	2.241661093	17.179	8.310096326	8.868903674
DR3	16	16_48_16S	16S	Drought/Rain	No water	1	WHC 100%	2	272774	OK	16	13.14399955	76.2068999	1.108620356	11.52211947	NA	16	27	DR3	3	11.52211947	4.026831993	8.585723387	76.2068999	436.0845052	336.505498	1.108620356	1.188140065	1.668801112	13.14399955	11.09137685	13.13293269	8.03	7.86	8	1.816312945	0.313852749	0.660472707	NA	0.927628702	3.309481246	1.008339206	5.274909875	0.381915452	0.477391938	1.142331601	4.401317024	0	3.997619597	0.443695018	0.764480289	17.892	2.976281278	14.91571872	2.410336634	5.403376238	1.670415842	1.002782178	1.13170297	2.080980198	2.058306931	0.401158416	0.77670297	2.377237624	19.313	8.047465347	11.26553465	6	1.068214367	6.541756763	0	0.870562173	0.516544215	0.304047965	0.528214367	2.025457149	5.771016367	1.631186633	19.257	7.883989316	11.37301068
D4	17	17_49_16S	16S	Drought	No water	1	WHC 50%	1	145075	OK	17	13.98538321	140.2189473	0.866819929	11.53248219	2.709762799	17	20	D4	4	11.53248219	7.910020663	10.58149723	140.2189473	308.1532291	295.2285928	0.866819929	1.13245539	0.68954277	13.98538321	14.26478679	23.98784085	8.04	7.9	7.91	1.641421422	NA	1.383150309	2.709762799	5.320958508	2.595563319	2.285279698	5.561819006	0.51839892	0.368303456	0.652511447	4.057361555	3.706296544	2.116762203	0.17904514	0.78622203	20.232	7.341531749	12.89046825	3.280392781	0.043	1.320091026	0.78697118	0.942316165	2.304213155	3.041392923	1.431349408	4.228806392	1.732466971	19.111	12.81299929	6.298000713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D5	21	21_50_16S	16S	Drought	No water	1	WHC 50%	1	248851	OK	21	16.39678328	137.3938659	1.331957224	11.57906348	3.078275341	21	21	D5	4	11.57906348	8.390191466	10.18749186	137.3938659	388.4661787	351.8730279	1.331957224	1.486026514	0.209792902	16.39678328	16.93194911	22.68145758	7.96	7.92	7.91	1.198136628	0.324043179	0.678336096	3.078275341	4.275218645	2.999552714	1.299519809	4.637837951	0.380803843	0.886366101	0.057698391	1.091773161	5.966802949	1.143253351	0.973985404	0.704959041	17.143	8.678810396	8.464189604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	2.081809254	6.119295877	0.600942713	0.889281083	0.647103872	0.613039031	0.069467107	2.698466793	5.653559018	1.321035253	20.694	9.052881964	11.64111804
R2	22	22_51_16S	16S	Rain	WHC 50%	2	WHC 100%	2	80364	OK	22	9.086811532	250.3844552	0.853003431	9.651009316	3.477081026	22	10	R2	1	9.651009316	2.462158951	10.24833539	250.3844552	432.7533148	383.2600278	0.853003431	1.415612036	0.693155416	9.086811532	4.089776648	9.289386343	8.01	7.83	7.92	2.40395115	0.338425618	1.317372312	3.477081026	2.657989193	2.507379931	0.758431382	5.761697918	0.345407684	0.372838951	0.874587829	2.497972392	7.095830898	1.099161509	1.779151961	1.187919475	21.773	10.85340975	10.91959025	2.888183234	1.21752381	1.441714829	0.516250226	1.138449756	2.141617418	1.63118088	0.976907297	5.135052508	2.077120043	19.164	12.23458121	6.929418794	1	0.959240308	5.047950715	1.117078513	0.928218051	0.48645628	0.967182708	0.804355754	1.075624068	12.4644224	4.8554712	28.706	15.83155326	12.87444674
