ID	M1	D1	D2	DR1	D3	DR2	DR3	D4	D5	R2	R3	M2	DR4	R4	DR5	DR6	D6	D7	DR7	M3	R5	M5	M6	R6	D8	R7	M7	M8	R8
1	0	0.003335029	0.003592031	0.002822706	0.015837821	0	0.001833019	0.001378597	0.002009234	0.003733015	0.00567698	0.005994177	0.001820946	0.003602435	0	0.000715599	0.00077685	0	0.00179764	0.005790164	0.004949025	0.000567769	0.000671046	0.000674109	0.000373201	0.000503778	0	0.003308191	0.00077511
2	0.001338482	0.004168786	0.000718406	0.002117029	0	0.002145106	0.006232266	0.000689299	0.001607388	0	0.000946163	0.000856311	0.001820946	0.000900609	0.001568468	0.001431199	0.0015537	0.001281411	0.00089882	0.002895082	0	0.002838844	0.001342093	0	0.000746402	0.001511335	0	0	0.001550219
3	0.000669241	0.003335029	0	0.001411353	0	0.000536276	0.002932831	0.000689299	0.001205541	0	0	0.004281555	0.001820946	0.001801218	0	0.000715599	0.00077685	0.000640705	0	0.000965027	0	0.000567769	0.000671046	0.000674109	0	0	0	0.001654096	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000567769	0	0	0	0	0	0	0
5	0.000669241	0.002501271	0.000718406	0	0	0.004290211	0.000733208	0.000689299	0.001607388	0	0.000946163	0.000856311	0.000910473	0	0.001568468	0.001431199	0.00077685	0.000640705	0.00179764	0.00386011	0.000824838	0.001135538	0.001342093	0.000674109	0	0	0.001698398	0.001654096	0
6	0	0	0	0	0	0.000536276	0	0	0	0	0	0.000856311	0	0	0.000784234	0	0	0	0	0	0	0	0	0	0	0	0	0.001654096	0
7	0.003346205	0.002501271	0.002155219	0.002822706	0.001979728	0.018233398	0.001099812	0.001378597	0.001607388	0.006221691	0.004730817	0.00856311	0.003641893	0.006304262	0.003921169	0.001431199	0.00077685	0.001281411	0.004494099	0.012545356	0.004124188	0.001703307	0.004026278	0.001348218	0.000746402	0.003526448	0.001698398	0.004962287	0.006200877
8	0.00669241	0.005002543	0.006465657	0.007056765	0.015837821	0.004290211	0	0	0.003616622	0.009954706	0.00851547	0.012844665	0.000910473	0.002701826	0.000784234	0.005724795	0.005437949	0.005766348	0	0.030880877	0.008248375	0.002838844	0.006710464	0.006066979	0.000373201	0.007556675	0.003396797	0.006616382	0.001550219
9	0.950991481	8.361750557	5.76664727	6.131622774	7.720937599	8.611526725	8.059419153	6.085128382	6.691956231	2.477477477	3.643674898	4.149683165	3.481649413	3.536690803	4.421509964	3.54579478	2.896873179	2.719793949	4.313436458	9.174515556	4.768385628	5.020780342	5.544185048	4.006228766	1.302472085	2.643828715	1.596494506	2.23302898	2.212938131
10	0.010707856	0.003335029	0.010776094	0.004939735	0.005939183	0.003217659	0	0.003446493	0.002009234	0.012443383	0.010407796	0.003425244	0.000910473	0	0.000784234	0.005724795	0.003884249	0.05445995	0.00179764	0.009650274	0.010722888	0.003406613	0.004026278	0.004044653	0.001119604	0.005037783	0.005095195	0	0.004650658
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000715599	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0.000669241	0	0.001436813	0.003528382	0	0	0	0	0.001607388	0.001244338	0	0	0	0.000900609	0.000784234	0.001431199	0	0	0	0	0	0	0	0.001348218	0.000373201	0.001007557	0.003396797	0.001654096	0
13	0.006023169	0.003335029	0.002155219	0.005645412	0.005939183	0.002681382	0.003299435	0.002757195	0.004018469	0.002488677	0.004730817	0.003425244	0.003641893	0.006304262	0.003136935	0.004293596	0.003107399	0.003844232	0.00269646	0	0	0.002838844	0.006039417	0.002696435	0.003732012	0.003526448	0.006793594	0.001654096	0.001550219
14	0	0	0.000718406	0.000705676	0	0	0	0	0.000401847	0	0	0	0	0	0	0.000715599	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0.004684687	0.001667514	0.005028844	0.002822706	0.009898638	0.001072553	0.003299435	0.001378597	0.001607388	0.00746603	0.001892327	0.005994177	0.001820946	0.001801218	0.002352701	0.003577997	0.003107399	0.003203526	0.00179764	0.002895082	0.000824838	0.000567769	0.004026278	0.004718762	0.005224816	0.000503778	0.001698398	0	0.004650658
16	0.289112118	0.119227274	0.173854322	0.275919496	0.166297118	0.198422275	0.100449456	0.156470791	0.161944296	0.141854562	0.208155928	0.180681624	0.123824352	0.108073057	0.145083246	0.259762564	0.215964265	0.408129269	0.111453661	0.175634988	0.203734864	0.095952943	0.174472054	0.181335275	0.293709321	0.139546599	0.220791793	0.120748974	0.188351652
17	0.432329695	0.550279726	0.441819867	0.344370113	0.326655052	0.330346274	0.54110729	0.331552645	0.52039172	0.260066697	0.2630334	0.337386539	0.397876777	0.423286141	0.378000674	0.402882434	0.475432123	0.346621561	0.746919295	0.265382537	0.323336303	0.59615734	0.496574308	0.308741843	0.400818057	0.305289673	0.251362965	0.466454942	0.324770955
18	0.003346205	0	0.001436813	0	0	0.000536276	0.001099812	0.000689299	0.001205541	0	0.001892327	0.002568933	0.000910473	0.000900609	0	0.002146798	0.00077685	0.002562821	0.00269646	0	0	0.002271076	0.001342093	0.001348218	0.001119604	0.001511335	0.003396797	0.001654096	0.00077511
19	0.026769641	0.039186587	0.016523345	0.015524882	0.00791891	0.02091478	0.01136472	0.013096674	0.015270182	0.02115375	0.028384899	0.010275732	0.02003041	0.021614611	0.014900442	0.017889984	0.021751796	0.022424685	0.024268136	0.018335521	0.01649675	0.013058685	0.021473484	0.013482177	0.016794053	0.016120907	0.023777578	0.02977372	0.020927961
20	0.60767084	0.51359441	0.606334907	0.575126316	0.65726956	0.898263001	0.735407334	0.841633638	0.568613347	0.890946195	0.544990065	0.691899298	1.429442881	1.141071364	0.415643895	0.219689001	0.386871237	0.310742065	0.810735504	1.051879873	1.463261737	0.515534157	0.371759685	0.313460605	0.882993969	0.81813602	0.772771277	1.199219267	0.717751562
21	0.698687618	0.532770825	0.535212684	0.407175318	0.556303453	0.715392742	0.481350862	0.703084611	0.508738161	0.919565975	0.662314315	0.666209967	0.948713046	1.005980043	0.394469583	0.378552056	0.438143329	0.384423173	0.668721968	1.191808847	1.351908674	0.471248183	0.322102254	0.369411638	0.706843017	0.713350126	1.042816624	0.921331216	0.775884788
22	0.030115846	0.021677686	0.03879394	0.038106529	0.041574279	0.04933743	0.031894535	0.071687058	0.032549598	0.054750883	0.028384899	0.035108751	0.07739022	0.070247487	0.025879714	0.014311987	0.033404545	0.024987506	0.053030371	0.045356288	0.047015738	0.026117369	0.020802437	0.015504503	0.035454111	0.041813602	0.045856757	0.07774249	0.064334103
23	0	0	0.000718406	0	0	0.001072553	0	0	0	0	0	0.000856311	0.000910473	0.000900609	0	0.001431199	0	0.000640705	0.00179764	0	0.000824838	0.000567769	0.000671046	0	0	0	0	0.001654096	0
24	0.007361651	0.012506357	0.006465657	0.002822706	0	0.006435317	0.005499058	0.002757195	0.005625856	0.004977353	0.004730817	0.002568933	0.003641893	0.006304262	0.005489636	0.006440394	0.008545349	0.005766348	0.00179764	0.00386011	0.004949025	0.006813227	0.006710464	0.009437524	0.005224816	0.005037783	0.001698398	0.006616382	0.006200877
25	0.002007723	0.002501271	0.002873625	0.001411353	0.001979728	0.004290211	0.001833019	0.000689299	0.003214775	0.00746603	0.000946163	0.005994177	0	0.000900609	0.002352701	0	0.006991649	0.000640705	0.004494099	0.001930055	0.004949025	0.002271076	0.001342093	0.002022326	0.005224816	0.003526448	0.001698398	0.008270478	0.003100439
26	0.001338482	0.000833757	0.001436813	0.000705676	0.001979728	0.003217659	0.001099812	0.000689299	0	0.002488677	0.00283849	0.000856311	0.000910473	0.001801218	0	0.000715599	0	0.001281411	0	0.002895082	0.004949025	0.002271076	0.000671046	0.003370544	0.001119604	0	0.005095195	0.004962287	0.001550219
27	0.357374701	0.466070252	0.292391359	0.242752703	0.223709218	0.309431493	0.310146862	0.168188868	0.29575931	0.246378976	0.24032548	0.325398185	0.242185864	0.31071004	0.261149844	0.266918558	0.424936881	0.262048463	0.730740538	0.243186907	0.296941503	0.378134084	0.47778501	0.32761689	0.31236938	0.275062972	0.18172863	0.406907503	0.310043871
28	0.072947271	0.087544502	0.074714254	0.067039264	0.10690529	0.109400389	0.076620206	0.161295881	0.069921359	0.090836693	0.064339105	0.053947594	0.089226371	0.10627184	0.05411213	0.047229557	0.083122936	0.042927254	0.086286706	0.098432795	0.062687651	0.064725654	0.040933828	0.039772421	0.066803009	0.051889169	0.059443944	0.148868599	0.104639807
29	0.002007723	0	0.001436813	0.000705676	0	0.001608829	0.000366604	0	0.001205541	0.002488677	0	0.001712622	0.000910473	0.000900609	0.000784234	0.002862397	0	0.000640705	0.00089882	0.001930055	0.001649675	0	0.003355232	0.002022326	0.000746402	0.002015113	0.001698398	0	0.003100439
30	0.018738748	0.0116726	0.022270595	0.012702176	0.015837821	0.010725528	0.021996231	0.021368258	0.027325588	0.012443383	0.009461633	0.011988354	0.016388517	0.016210959	0.021958545	0.024330378	0.024859196	0.017299043	0.026065776	0.020265576	0.011547725	0.023846294	0.026841855	0.026964353	0.018286857	0.020151134	0.016983984	0.018195051	0.010851535
31	0.716757126	0.486914181	0.585501124	0.524317611	0.538485904	0.427412305	0.621393535	0.873341375	0.59272416	0.406898611	0.425773489	0.561740024	0.483461255	0.417882489	0.606996934	0.719892946	0.637793746	0.665052089	0.643555012	0.366710415	0.381899766	0.619435865	0.665006945	0.613439034	0.570997791	0.45440806	0.495932336	0.569008866	0.461190258
32	0.090347537	0.069201844	0.058190909	0.063510882	0.06533101	0.046656048	0.066355298	0.08616233	0.07233244	0.059728237	0.053931309	0.07621168	0.049165551	0.079253575	0.075286441	0.115927095	0.068362789	0.065992645	0.05752447	0.046321316	0.054439275	0.065861192	0.084551842	0.085611821	0.052621365	0.077581864	0.078126327	0.047968771	0.055807897
33	0.00669241	0.002501271	0.00574725	0.004939735	0.003959455	0.006435317	0.000366604	0.000689299	0.004018469	0.011199044	0.016084776	0.004281555	0.006373312	0.003602435	0.005489636	0.002146798	0.003107399	0.008969874	0.003595279	0.007720219	0.000824838	0.002271076	0.002684185	0.002696435	0.003732012	0.00302267	0.006793594	0.003308191	0.006200877
34	1.15510999	1.003009863	1.268705504	1.414175629	2.403389294	2.495294174	1.280547266	2.706186455	1.255369679	2.356776666	1.366259816	1.448878233	2.605774221	2.262329335	0.923827374	0.718461748	1.056515828	1.171849972	1.190037481	1.772755346	1.295819724	0.746616097	0.766334946	0.576363048	1.046456082	1.270528967	1.625367279	1.907172158	1.726169253
35	0.046846871	0.018342658	0.048851628	0.049397352	0.067310738	0.047728601	0.047658501	0.083405135	0.053847483	0.120700811	0.130570536	0.057372838	0.067375015	0.05313592	0.04156439	0.037926766	0.029520295	0.040364433	0.022470496	0.060796727	0.061037976	0.029523983	0.024828715	0.036401877	0.050382158	0.061964736	0.090015116	0.047968771	0.065109213
