ID	King	Phylum	Order	Class	Family	Genus
1	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
2	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
3	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera
4	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella
5	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
6	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmatales_incertae_sedis	Thermogymnomonas
7	Archaea	Euryarchaeota	Unclass_Euryarchaeota	Unclass_Euryarchaeota	Unclass_Euryarchaeota	Unclass_Euryarchaeota
8	Archaea	Thaumarchaeota	Unclass_Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
9	Archaea	Thaumarchaeota	Unclass_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
10	Archaea	Unclass_Archaea	Unclass_Archaea	Unclass_Archaea	Unclass_Archaea	Unclass_Archaea
11	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unclass_Acidobacteria_Gp1	Unclass_Acidobacteria_Gp1	Candidatus_Koribacter
12	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unclass_Acidobacteria_Gp1	Unclass_Acidobacteria_Gp1	Edaphobacter
13	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unclass_Acidobacteria_Gp1	Unclass_Acidobacteria_Gp1	Gp1
14	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unclass_Acidobacteria_Gp1	Unclass_Acidobacteria_Gp1	Terriglobus
15	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unclass_Acidobacteria_Gp1	Unclass_Acidobacteria_Gp1	Unclass_Acidobacteria_Gp1
16	Bacteria	Acidobacteria	Acidobacteria_Gp10	Unclass_Acidobacteria_Gp10	Unclass_Acidobacteria_Gp10	Gp10
17	Bacteria	Acidobacteria	Acidobacteria_Gp11	Unclass_Acidobacteria_Gp11	Unclass_Acidobacteria_Gp11	Gp11
18	Bacteria	Acidobacteria	Acidobacteria_Gp13	Unclass_Acidobacteria_Gp13	Unclass_Acidobacteria_Gp13	Gp13
19	Bacteria	Acidobacteria	Acidobacteria_Gp15	Unclass_Acidobacteria_Gp15	Unclass_Acidobacteria_Gp15	Gp15
20	Bacteria	Acidobacteria	Acidobacteria_Gp16	Unclass_Acidobacteria_Gp16	Unclass_Acidobacteria_Gp16	Gp16
21	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unclass_Acidobacteria_Gp17	Unclass_Acidobacteria_Gp17	Gp17
22	Bacteria	Acidobacteria	Acidobacteria_Gp18	Unclass_Acidobacteria_Gp18	Unclass_Acidobacteria_Gp18	Gp18
23	Bacteria	Acidobacteria	Acidobacteria_Gp19	Unclass_Acidobacteria_Gp19	Unclass_Acidobacteria_Gp19	Gp19
24	Bacteria	Acidobacteria	Acidobacteria_Gp2	Unclass_Acidobacteria_Gp2	Unclass_Acidobacteria_Gp2	Gp2
25	Bacteria	Acidobacteria	Acidobacteria_Gp20	Unclass_Acidobacteria_Gp20	Unclass_Acidobacteria_Gp20	Gp20
26	Bacteria	Acidobacteria	Acidobacteria_Gp21	Unclass_Acidobacteria_Gp21	Unclass_Acidobacteria_Gp21	Gp21
27	Bacteria	Acidobacteria	Acidobacteria_Gp22	Unclass_Acidobacteria_Gp22	Unclass_Acidobacteria_Gp22	Gp22
28	Bacteria	Acidobacteria	Acidobacteria_Gp25	Unclass_Acidobacteria_Gp25	Unclass_Acidobacteria_Gp25	Gp25
29	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unclass_Acidobacteria_Gp3	Unclass_Acidobacteria_Gp3	Bryobacter
30	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unclass_Acidobacteria_Gp3	Unclass_Acidobacteria_Gp3	Candidatus_Solibacter
31	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unclass_Acidobacteria_Gp3	Unclass_Acidobacteria_Gp3	Gp3
32	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unclass_Acidobacteria_Gp3	Unclass_Acidobacteria_Gp3	Unclass_Acidobacteria_Gp3
33	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclass_Acidobacteria_Gp4	Unclass_Acidobacteria_Gp4	Blastocatella
34	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclass_Acidobacteria_Gp4	Unclass_Acidobacteria_Gp4	Gp4
35	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclass_Acidobacteria_Gp4	Unclass_Acidobacteria_Gp4	Unclass_Acidobacteria_Gp4
36	Bacteria	Acidobacteria	Acidobacteria_Gp5	Unclass_Acidobacteria_Gp5	Unclass_Acidobacteria_Gp5	Gp5
37	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclass_Acidobacteria_Gp6	Unclass_Acidobacteria_Gp6	Gp6
38	Bacteria	Acidobacteria	Acidobacteria_Gp7	Unclass_Acidobacteria_Gp7	Unclass_Acidobacteria_Gp7	Gp7
39	Bacteria	Acidobacteria	Acidobacteria_Gp9	Unclass_Acidobacteria_Gp9	Unclass_Acidobacteria_Gp9	Gp9
40	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
41	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Holophaga
42	Bacteria	Acidobacteria	Unclass_Acidobacteria	Unclass_Acidobacteria	Unclass_Acidobacteria	Unclass_Acidobacteria
43	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter
44	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Unclass_Acidimicrobiaceae
45	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas
46	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia
47	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Unclass_Acidimicrobiales	Unclass_Acidimicrobiales
48	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Acidothermaceae	Acidothermus
49	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinospicaceae	Actinospica
50	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Bogoriellaceae	Georgenia
51	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium
52	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Catenulisporaceae	Catenulispora
53	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas
54	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
55	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacterineae_incertae_sedis	Tomitella
56	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cryptosporangiaceae	Cryptosporangium
57	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Demequinaceae	Demequina
58	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dietziaceae	Dietzia
59	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Blastococcus
60	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Geodermatophilus
61	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Modestobacter
62	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Unclass_Geodermatophilaceae
63	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Glycomycetaceae	Glycomyces
64	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Glycomycetaceae	Stackebrandtia
65	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter
66	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Phycicoccus
67	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Terrabacter
68	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Unclass_Intrasporangiaceae
69	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Jiangellaceae	Jiangella
70	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	Angustibacter
71	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	Kineococcus
72	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	Kineosporia
73	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	Unclass_Kineosporiaceae
74	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces
75	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Humibacter
76	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Leucobacter
77	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Unclass_Microbacteriaceae
78	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
79	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Citricoccus
80	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria
